"","created","user_id","method","currency","amount"
"1061","2020-12-10 15:08:41.229+00",3309,"bt","mxn",1
"1062","2020-12-10 15:08:40.645+00",3309,"bt","mxn",1
"1063","2020-12-10 15:08:39.79+00",3309,"bt","mxn",1
"1064","2020-12-10 13:22:40.113+00",3309,"bt","mxn",200
"1065","2020-12-10 13:22:39.659+00",3309,"bt","mxn",200
"1066","2020-12-10 13:22:38.949+00",3309,"bt","mxn",200
"1067","2020-12-10 13:22:38.249+00",3309,"bt","mxn",200
"1068","2020-12-10 13:22:37.404+00",3309,"spei","mxn",50
"1069","2020-12-10 13:22:22.358+00",3309,"bt","mxn",1
"1070","2020-12-10 13:22:21.833+00",3309,"bt","mxn",1
"1071","2020-12-10 13:22:20.922+00",3309,"bt","mxn",1
"1072","2020-12-10 01:37:34.18+00",3309,"bt","mxn",200
"1073","2020-12-10 01:37:33.676+00",3309,"bt","mxn",200
"1074","2020-12-10 01:37:32.611+00",3309,"bt","mxn",200
"1075","2020-12-10 01:37:31.854+00",3309,"bt","mxn",200
"1076","2020-12-10 01:37:31.141+00",3309,"spei","mxn",50
"1077","2020-12-10 01:37:16.253+00",3309,"bt","mxn",1
"1078","2020-12-10 01:37:15.539+00",3309,"bt","mxn",1
"1079","2020-12-10 01:37:14.899+00",3309,"bt","mxn",1
"1080","2020-12-09 19:26:04.167+00",3309,"bt","mxn",200
"1081","2020-12-09 19:26:03.732+00",3309,"bt","mxn",200
"1082","2020-12-09 19:26:02.888+00",3309,"bt","mxn",200
"1083","2020-12-09 19:26:01.994+00",3309,"bt","mxn",200
"1084","2020-12-09 19:26:00.747+00",3309,"spei","mxn",50
"1085","2020-12-09 19:25:45.482+00",3309,"bt","mxn",1
"1086","2020-12-09 19:25:44.815+00",3309,"bt","mxn",1
"1087","2020-12-09 19:25:43.989+00",3309,"bt","mxn",1
"1088","2020-12-09 12:39:41.808+00",3309,"bt","mxn",200
"1089","2020-12-09 12:39:41.349+00",3309,"bt","mxn",200
"1090","2020-12-09 12:39:40.665+00",3309,"bt","mxn",200
"1091","2020-12-09 12:39:39.90+00",3309,"bt","mxn",200
"1092","2020-12-09 12:39:39.233+00",3309,"spei","mxn",50
"1093","2020-12-09 12:39:25.397+00",3309,"bt","mxn",1
