"","created","user_id","method","currency","amount"
"135","2020-12-30 17:24:18.204+00",3310,"bt","mxn",200
"136","2020-12-30 17:24:17.07+00",3310,"bt","mxn",200
"137","2020-12-30 17:24:03.43+00",3310,"bt","mxn",1
"138","2020-12-30 17:24:02.684+00",3310,"bt","mxn",1
"139","2020-12-30 17:24:01.586+00",3310,"bt","mxn",1
"140","2020-12-30 05:30:38.417+00",3310,"bt","mxn",200
"141","2020-12-30 05:30:37.751+00",3310,"bt","mxn",200
"142","2020-12-30 05:30:36.864+00",3310,"bt","mxn",200
"143","2020-12-30 05:30:35.936+00",3310,"bt","mxn",200
"144","2020-12-30 05:30:22.491+00",3310,"bt","mxn",1
"145","2020-12-30 05:30:21.633+00",3310,"bt","mxn",1
"146","2020-12-30 05:30:20.535+00",3310,"bt","mxn",1
"147","2020-12-29 15:04:33.149+00",3310,"bt","mxn",200
"148","2020-12-29 15:04:32.589+00",3310,"bt","mxn",200
"149","2020-12-29 15:04:31.82+00",3310,"bt","mxn",200
"150","2020-12-29 15:04:30.961+00",3310,"bt","mxn",200
"151","2020-12-29 15:04:17.179+00",3310,"bt","mxn",1
"152","2020-12-29 15:04:16.196+00",3310,"bt","mxn",1
"153","2020-12-29 15:04:14.897+00",3310,"bt","mxn",1
"154","2020-12-28 17:23:48.149+00",3310,"bt","mxn",200
"155","2020-12-28 17:23:47.615+00",3310,"bt","mxn",200
"156","2020-12-28 17:23:46.774+00",3310,"bt","mxn",200
"157","2020-12-28 17:23:45.847+00",3310,"bt","mxn",200
"158","2020-12-28 17:23:32.452+00",3310,"bt","mxn",1
"159","2020-12-28 17:23:31.849+00",3310,"bt","mxn",1
"160","2020-12-28 17:23:30.788+00",3310,"bt","mxn",1
"161","2020-12-28 16:46:07.594+00",3310,"bt","mxn",200
"162","2020-12-28 16:46:06.909+00",3310,"bt","mxn",200
"163","2020-12-28 16:46:06.072+00",3310,"bt","mxn",200
"164","2020-12-28 16:46:05.171+00",3310,"bt","mxn",200
"165","2020-12-28 16:45:50.768+00",3310,"bt","mxn",1
"166","2020-12-28 16:45:50.144+00",3310,"bt","mxn",1
"167","2020-12-28 16:45:48.965+00",3310,"bt","mxn",1
"168","2020-12-28 16:16:16.029+00",3310,"bt","mxn",200
"169","2020-12-28 16:16:15.281+00",3310,"bt","mxn",200
"170","2020-12-28 16:16:14.294+00",3310,"bt","mxn",200
"171","2020-12-28 16:16:13.398+00",3310,"bt","mxn",200
"172","2020-12-28 16:15:59.717+00",3310,"bt","mxn",1
"173","2020-12-28 16:15:59.042+00",3310,"bt","mxn",1
"174","2020-12-28 16:15:57.685+00",3310,"bt","mxn",1
"175","2020-12-26 04:40:06.088+00",3310,"bt","mxn",200
"176","2020-12-26 04:40:05.169+00",3310,"bt","mxn",200
"177","2020-12-26 04:40:04.359+00",3310,"bt","mxn",200
"178","2020-12-26 04:40:03.534+00",3310,"bt","mxn",200
"179","2020-12-26 04:39:50.463+00",3310,"bt","mxn",1
"180","2020-12-26 04:39:49.796+00",3310,"bt","mxn",1
"181","2020-12-26 04:39:48.929+00",3310,"bt","mxn",1
"182","2020-12-25 23:43:54.273+00",3310,"bt","mxn",200
"183","2020-12-25 23:43:53.485+00",3310,"bt","mxn",200
"184","2020-12-25 23:43:52.613+00",3310,"bt","mxn",200
"185","2020-12-25 23:43:51.60+00",3310,"bt","mxn",200
"186","2020-12-25 23:43:37.842+00",3310,"bt","mxn",1
"187","2020-12-25 23:43:37.244+00",3310,"bt","mxn",1
"188","2020-12-25 23:43:36.176+00",3310,"bt","mxn",1
"189","2020-12-24 19:40:08.426+00",3310,"bt","mxn",200
"190","2020-12-24 19:40:07.861+00",3310,"bt","mxn",200
"191","2020-12-24 19:40:07.039+00",3310,"bt","mxn",200
"192","2020-12-24 19:40:06.057+00",3310,"bt","mxn",200
"193","2020-12-24 19:39:53.493+00",3310,"bt","mxn",1
"194","2020-12-24 19:39:52.925+00",3310,"bt","mxn",1
"195","2020-12-24 19:39:52.144+00",3310,"bt","mxn",1
"196","2020-12-24 18:58:21.287+00",3310,"bt","mxn",200
"197","2020-12-24 18:58:20.695+00",3310,"bt","mxn",200
"198","2020-12-24 18:58:19.805+00",3310,"bt","mxn",200
"199","2020-12-24 18:58:18.911+00",3310,"bt","mxn",200
"200","2020-12-24 18:58:05.035+00",3310,"bt","mxn",1
"201","2020-12-24 18:58:04.403+00",3310,"bt","mxn",1
"202","2020-12-24 18:58:03.053+00",3310,"bt","mxn",1
"203","2020-12-24 12:38:18.883+00",3310,"bt","mxn",200
"204","2020-12-24 12:38:18.198+00",3310,"bt","mxn",200
"205","2020-12-24 12:38:17.42+00",3310,"bt","mxn",200
"206","2020-12-24 12:38:16.515+00",3310,"bt","mxn",200
"207","2020-12-24 12:38:03.308+00",3310,"bt","mxn",1
"208","2020-12-24 12:38:02.323+00",3310,"bt","mxn",1
"209","2020-12-24 12:38:01.373+00",3310,"bt","mxn",1
"210","2020-12-24 02:40:16.59+00",3310,"bt","mxn",200
"211","2020-12-24 02:40:15.858+00",3310,"bt","mxn",200
"212","2020-12-24 02:40:14.891+00",3310,"bt","mxn",200
"213","2020-12-24 02:40:13.957+00",3310,"bt","mxn",200
"214","2020-12-24 02:39:58.938+00",3310,"bt","mxn",1
"215","2020-12-24 02:39:58.378+00",3310,"bt","mxn",1
"216","2020-12-24 02:39:57.336+00",3310,"bt","mxn",1
"217","2020-12-24 02:07:07.374+00",3310,"bt","mxn",200
"218","2020-12-24 02:07:06.735+00",3310,"bt","mxn",200
"219","2020-12-24 02:07:05.838+00",3310,"bt","mxn",200
"220","2020-12-24 02:07:04.961+00",3310,"bt","mxn",200
"221","2020-12-24 02:06:49.375+00",3310,"bt","mxn",1
"222","2020-12-24 02:06:48.603+00",3310,"bt","mxn",1
"223","2020-12-24 02:06:47.599+00",3310,"bt","mxn",1
"224","2020-12-24 00:05:34.889+00",3310,"bt","mxn",200
"225","2020-12-24 00:05:34.267+00",3310,"bt","mxn",200
"226","2020-12-24 00:05:33.389+00",3310,"bt","mxn",200
"227","2020-12-24 00:05:32.326+00",3310,"bt","mxn",200
"228","2020-12-24 00:05:16.043+00",3310,"bt","mxn",1
"229","2020-12-24 00:05:15.285+00",3310,"bt","mxn",1
"230","2020-12-24 00:05:14.219+00",3310,"bt","mxn",1
"231","2020-12-23 23:28:12.575+00",3310,"bt","mxn",200
"232","2020-12-23 23:28:11.864+00",3310,"bt","mxn",200
"233","2020-12-23 23:28:10.938+00",3310,"bt","mxn",200
"234","2020-12-23 23:28:09.985+00",3310,"bt","mxn",200
"235","2020-12-23 23:27:54.584+00",3310,"bt","mxn",1
"236","2020-12-23 23:27:53.79+00",3310,"bt","mxn",1
"237","2020-12-23 23:27:52.779+00",3310,"bt","mxn",1
"238","2020-12-23 22:53:41.738+00",3310,"bt","mxn",200
"239","2020-12-23 22:53:41.148+00",3310,"bt","mxn",200
"240","2020-12-23 22:53:40.222+00",3310,"bt","mxn",200
"241","2020-12-23 22:53:39.326+00",3310,"bt","mxn",200
"242","2020-12-23 22:53:24.396+00",3310,"bt","mxn",1
"243","2020-12-23 22:53:23.735+00",3310,"bt","mxn",1
"244","2020-12-23 22:53:22.675+00",3310,"bt","mxn",1
"245","2020-12-23 22:02:15.905+00",3310,"bt","mxn",200
"246","2020-12-23 22:02:15.176+00",3310,"bt","mxn",200
"247","2020-12-23 22:02:14.326+00",3310,"bt","mxn",200
"248","2020-12-23 22:02:13.354+00",3310,"bt","mxn",200
"249","2020-12-23 22:01:56.447+00",3310,"bt","mxn",1
"250","2020-12-23 22:01:55.717+00",3310,"bt","mxn",1
"251","2020-12-23 22:01:54.708+00",3310,"bt","mxn",1
"252","2020-12-23 19:29:30.379+00",3310,"bt","mxn",200
"253","2020-12-23 19:29:29.648+00",3310,"bt","mxn",200
"254","2020-12-23 19:29:28.617+00",3310,"bt","mxn",200
"255","2020-12-23 19:29:27.722+00",3310,"bt","mxn",200
"256","2020-12-23 19:29:11.896+00",3310,"bt","mxn",1
"257","2020-12-22 00:37:59.95+00",3630,"spei","mxn",2e+08
"258","2020-12-18 15:19:59.195+00",5572,"adm","dai",5000
"259","2020-12-10 00:00:00+00",6287,"ted","brl",1e+05
"260","2020-12-17 20:21:09.803+00",7546,"bt","mxn",500
"261","2020-12-17 15:23:14.476+00",7546,"bt","mxn",5000
"262","2020-12-10 20:05:04.277+00",7546,"bt","mxn",1000
"263","2020-12-04 22:50:19.137+00",7583,"bt","bat",1
"264","2020-12-04 22:45:27.156+00",7583,"bt","tusd",1
"265","2020-12-04 22:38:19.058+00",7583,"bt","eth",1
"266","2020-12-04 19:29:52.522+00",7583,"adm","xrp",4
"267","2020-12-04 19:29:52.492+00",7583,"adm","mana",1
"268","2020-12-04 19:29:52.454+00",7583,"adm","ltc",4
"269","2020-12-04 19:29:52.426+00",7583,"adm","eth",3.01348106
"270","2020-12-04 19:29:52.392+00",7583,"adm","dai",3
"271","2020-12-04 19:29:52.176+00",7583,"adm","bat",4
"272","2020-12-04 15:16:44.102+00",7583,"bt","btc",0.05
"273","2020-12-04 22:51:00.652+00",7594,"bt","bat",1
"274","2020-12-04 22:49:13.891+00",7594,"bt","bat",1
"275","2020-12-04 22:46:58.208+00",7594,"bt","tusd",1
"276","2020-12-03 16:11:22.33+00",7690,"adm","usd",1e+05
"277","2020-12-03 16:11:22.30+00",7690,"spei","mxn",1e+06
"278","2020-12-03 16:11:22.267+00",7690,"adm","brl",1e+06
"279","2020-12-03 16:11:22.228+00",7690,"adm","ars",1e+05
"280","2020-12-03 16:11:22.159+00",7690,"adm","btc",100
"281","2020-12-30 19:20:28.947+00",7708,"bt","mxn",1535.06
"282","2020-12-30 18:55:04.396+00",7708,"bt","mxn",1533.27
"283","2020-12-30 18:12:54.197+00",7708,"bt","mxn",990.91
"284","2020-12-29 17:59:02.526+00",7708,"bt","mxn",996.52
"285","2020-12-28 19:49:38.566+00",7708,"bt","mxn",1537.43
"286","2020-12-21 22:51:16.163+00",7708,"bt","mxn",1097.62
"287","2020-12-10 00:37:45.708+00",7708,"bt","mxn",1088.63
"288","2020-12-09 22:22:36.337+00",7708,"bt","mxn",1682.15
"289","2020-12-09 17:36:46.236+00",7708,"bt","mxn",1525.99
"290","2020-12-08 23:01:26.019+00",7708,"adm","usd",5000
"291","2020-12-08 17:29:26.369+00",7708,"bt","mxn",1080.11
"292","2020-12-08 16:03:07.628+00",7708,"bt","mxn",1088.14
"293","2020-12-08 16:00:07.26+00",7708,"spei","mxn",3758.8
"294","2020-12-03 16:22:06.257+00",7708,"spei","mxn",1e+06
"295","2020-12-16 16:53:47.716+00",7895,"adm","usd",1e+06
"296","2020-12-16 16:53:47.672+00",7895,"spei","mxn",1e+06
"297","2020-12-16 16:53:47.644+00",7895,"adm","brl",1e+06
"298","2020-12-16 16:53:47.614+00",7895,"adm","ars",1e+06
"299","2020-12-16 16:53:47.585+00",7895,"adm","xrp",1e+06
"300","2020-12-16 16:53:47.548+00",7895,"adm","tusd",1e+06
"301","2020-12-16 16:53:47.518+00",7895,"adm","rbtc",1e+06
"302","2020-12-16 16:53:47.487+00",7895,"adm","mana",1e+06
"303","2020-12-16 16:53:47.454+00",7895,"adm","ltc",1e+06
"304","2020-12-16 16:53:47.424+00",7895,"adm","gnt",1e+06
"305","2020-12-16 16:53:47.391+00",7895,"adm","eth",1e+06
"306","2020-12-16 16:53:47.36+00",7895,"adm","etc",1e+06
"307","2020-12-16 16:53:47.329+00",7895,"adm","dai",1e+06
"308","2020-12-16 16:53:47.288+00",7895,"adm","btc",1e+06
"309","2020-12-16 16:53:47.253+00",7895,"adm","bsv",1e+06
"310","2020-12-16 16:53:47.216+00",7895,"adm","bch",1e+06
"311","2020-12-16 16:53:47.16+00",7895,"adm","bat",1e+06
"312","2020-12-22 19:40:15.009+00",8025,"adm","usd",1000
"313","2020-12-22 19:40:14.903+00",8025,"spei","mxn",1000
"314","2020-12-22 19:40:14.855+00",8025,"adm","brl",100
"315","2020-12-22 19:40:14.79+00",8025,"adm","ars",100
"316","2020-12-22 19:40:14.719+00",8025,"adm","xrp",100
"317","2020-12-22 19:40:14.656+00",8025,"adm","tusd",1
"318","2020-12-22 19:40:14.60+00",8025,"adm","eth",1
"319","2020-12-22 19:40:14.536+00",8025,"adm","etc",1
"320","2020-12-22 19:40:14.486+00",8025,"adm","dai",1000
"321","2020-12-22 19:40:14.435+00",8025,"adm","btc",1
"322","2020-12-22 19:40:14.388+00",8025,"adm","bsv",1
"323","2020-12-22 19:40:14.339+00",8025,"adm","bch",1
"324","2020-12-22 19:40:14.255+00",8025,"adm","bat",1
"325","2020-12-23 19:29:10.929+00",3310,"bt","mxn",1
"326","2020-12-23 19:29:09.753+00",3310,"bt","mxn",1
"327","2020-12-23 16:13:37.139+00",3310,"bt","mxn",200
"328","2020-12-23 16:13:36.451+00",3310,"bt","mxn",200
"329","2020-12-23 16:13:35.455+00",3310,"bt","mxn",200
"330","2020-12-23 16:13:34.46+00",3310,"bt","mxn",200
"331","2020-12-23 16:13:18.393+00",3310,"bt","mxn",1
"332","2020-12-23 16:13:17.446+00",3310,"bt","mxn",1
"333","2020-12-23 16:13:15.968+00",3310,"bt","mxn",1
"334","2020-12-22 23:23:53.769+00",3310,"bt","mxn",200
"335","2020-12-22 23:23:53.173+00",3310,"bt","mxn",200
"336","2020-12-22 23:23:52.357+00",3310,"bt","mxn",200
"337","2020-12-22 23:23:51.505+00",3310,"bt","mxn",200
"338","2020-12-22 23:23:33.965+00",3310,"bt","mxn",1
"339","2020-12-22 23:23:32.799+00",3310,"bt","mxn",1
"340","2020-12-22 23:23:31.955+00",3310,"bt","mxn",1
"341","2020-12-22 21:43:43.651+00",3310,"bt","mxn",200
"342","2020-12-22 21:43:42.932+00",3310,"bt","mxn",200
"343","2020-12-22 21:43:42.037+00",3310,"bt","mxn",200
"344","2020-12-22 21:43:41.128+00",3310,"bt","mxn",200
"345","2020-12-22 21:43:22.875+00",3310,"bt","mxn",1
"346","2020-12-22 21:43:22.274+00",3310,"bt","mxn",1
"347","2020-12-22 21:43:21.103+00",3310,"bt","mxn",1
"348","2020-12-22 18:27:40.354+00",3310,"bt","mxn",200
"349","2020-12-22 18:27:39.746+00",3310,"bt","mxn",200
"350","2020-12-22 18:27:38.824+00",3310,"bt","mxn",200
"351","2020-12-22 18:27:37.983+00",3310,"bt","mxn",200
"352","2020-12-22 18:27:19.119+00",3310,"bt","mxn",1
"353","2020-12-22 18:27:18.437+00",3310,"bt","mxn",1
"354","2020-12-22 18:27:17.36+00",3310,"bt","mxn",1
"355","2020-12-22 07:04:13.29+00",3310,"bt","mxn",200
"356","2020-12-22 07:04:12.42+00",3310,"bt","mxn",200
"357","2020-12-22 07:04:11.383+00",3310,"bt","mxn",200
"358","2020-12-22 07:04:10.527+00",3310,"bt","mxn",200
"359","2020-12-22 07:03:52.05+00",3310,"bt","mxn",1
"360","2020-12-22 07:03:51.389+00",3310,"bt","mxn",1
"361","2020-12-22 07:03:50.552+00",3310,"bt","mxn",1
"362","2020-12-22 06:41:39.34+00",3310,"bt","mxn",200
"363","2020-12-22 06:41:38.614+00",3310,"bt","mxn",200
"364","2020-12-22 06:41:37.823+00",3310,"bt","mxn",200
"365","2020-12-22 06:41:37.006+00",3310,"bt","mxn",200
"366","2020-12-22 06:41:19.028+00",3310,"bt","mxn",1
"367","2020-12-22 06:41:18.046+00",3310,"bt","mxn",1
"368","2020-12-22 06:41:17.273+00",3310,"bt","mxn",1
"369","2020-12-22 06:05:45.497+00",3310,"bt","mxn",200
"370","2020-12-22 06:05:44.823+00",3310,"bt","mxn",200
"371","2020-12-22 06:05:43.905+00",3310,"bt","mxn",200
"372","2020-12-22 06:05:42.983+00",3310,"bt","mxn",200
"373","2020-12-22 06:05:24.641+00",3310,"bt","mxn",1
"374","2020-12-22 06:05:23.658+00",3310,"bt","mxn",1
"375","2020-12-22 06:05:22.95+00",3310,"bt","mxn",1
"376","2020-12-22 05:23:33.939+00",3310,"bt","mxn",200
"377","2020-12-22 05:23:33.356+00",3310,"bt","mxn",200
"378","2020-12-22 05:23:32.438+00",3310,"bt","mxn",200
"379","2020-12-22 05:23:31.619+00",3310,"bt","mxn",200
"380","2020-12-22 05:23:11.302+00",3310,"bt","mxn",1
"381","2020-12-22 05:23:10.265+00",3310,"bt","mxn",1
"382","2020-12-22 05:23:09.352+00",3310,"bt","mxn",1
"383","2020-12-22 03:03:18.35+00",3310,"bt","mxn",200
"384","2020-12-22 03:03:17.763+00",3310,"bt","mxn",200
"385","2020-12-22 03:03:16.951+00",3310,"bt","mxn",200
"386","2020-12-22 03:03:15.847+00",3310,"bt","mxn",200
"387","2020-12-22 03:02:56.391+00",3310,"bt","mxn",1
"388","2020-12-22 03:02:55.677+00",3310,"bt","mxn",1
"389","2020-12-22 03:02:54.691+00",3310,"bt","mxn",1
"390","2020-12-22 00:36:43.676+00",3310,"bt","mxn",200
"391","2020-12-22 00:36:43.126+00",3310,"bt","mxn",200
"392","2020-12-22 00:36:42.314+00",3310,"bt","mxn",200
"393","2020-12-22 00:36:41.436+00",3310,"bt","mxn",200
"394","2020-12-22 00:36:17.01+00",3310,"bt","mxn",1
"395","2020-12-22 00:36:16.235+00",3310,"bt","mxn",1
"396","2020-12-22 00:36:15.197+00",3310,"bt","mxn",1
"397","2020-12-22 00:00:17.229+00",3310,"bt","mxn",200
"398","2020-12-22 00:00:16.566+00",3310,"bt","mxn",200
"399","2020-12-22 00:00:15.633+00",3310,"bt","mxn",200
"400","2020-12-22 00:00:14.767+00",3310,"bt","mxn",200
"401","2020-12-21 23:59:49.225+00",3310,"bt","mxn",1
"402","2020-12-21 23:59:48.32+00",3310,"bt","mxn",1
"403","2020-12-21 23:59:47.589+00",3310,"bt","mxn",1
"404","2020-12-21 23:23:04.257+00",3310,"bt","mxn",200
"405","2020-12-21 23:23:03.717+00",3310,"bt","mxn",200
"406","2020-12-21 23:23:02.862+00",3310,"bt","mxn",200
"407","2020-12-21 23:23:01.847+00",3310,"bt","mxn",200
"408","2020-12-21 23:22:42.939+00",3310,"bt","mxn",1
"409","2020-12-21 23:22:42.273+00",3310,"bt","mxn",1
"410","2020-12-21 23:22:41.247+00",3310,"bt","mxn",1
"411","2020-12-21 22:55:15.301+00",3310,"bt","mxn",200
"412","2020-12-21 22:55:14.525+00",3310,"bt","mxn",200
"413","2020-12-21 22:55:13.386+00",3310,"bt","mxn",200
"414","2020-12-21 22:55:12.381+00",3310,"bt","mxn",200
"415","2020-12-21 22:54:58.05+00",3310,"bt","mxn",1
"416","2020-12-21 22:54:57.37+00",3310,"bt","mxn",1
